plot,plotID,habitat,ranch,bdffp_reserve_no,HA_ID_Number,tag_number,row,column,x_09,y_09,year,ht,shts,code.notes,infl
5753,FF-4,1-ha,PortoAlegre,3114,3571,215,A,8,NA,NA,2003,25,1,NA,0
5752,FF-6,10-ha,Esteio-Colosso,1202,3164,603,A,4,NA,NA,2002,24,1,ULY (3),0
5756,CF-3,CF,Esteio-Colosso,1501,4789,989,D,7,NA,NA,2000,NA,NA,NA,NA
5754,FF-7,10-ha,PortoAlegre,3209,8140,630,E,6,NA,NA,2005,9,1,NA,0
2108,FF-2,1-ha,Dimona,2108,369,32,D,7,6.5,4.2,2002,63,3,NA,0
NA,CF-1,CF,Esteio-Colosso,1301,7319,1955,A,8,3.6,0.42,2007,NA,NA,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,3847,40,E,3,4.9,0.2,2004,75,3,NA,0
5756,CF-3,CF,Esteio-Colosso,1501,3972,168,A,3,NA,NA,1998,61,2,NA,1
NA,CF-1,CF,Esteio-Colosso,1301,6589,815,A,1,1.7,5.8,2007,8,1,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4694,895,A,2,NA,NA,1998,NA,NA,NA,NA
NA,CF-4,CF,Dimona,NA,5647,73,D,10,4.7,9.4,2009,16,1,NA,NA
NA,CF-5,CF,PortoAlegre,NA,7535,181,E,6,NA,NA,2003,NA,NA,plant missing (60),NA
5752,FF-6,10-ha,Esteio-Colosso,1202,3278,719,D,7,NA,NA,2002,NA,NA,NA,NA
5752,FF-6,10-ha,Esteio-Colosso,1202,2937,378,B,7,NA,NA,2002,NA,NA,plant missing (60),NA
NA,CF-1,CF,Esteio-Colosso,1301,6602,828,B,4,0.3,2.6,2002,11,2,NA,0
2107,FF-1,1-ha,Dimona,2107,70,74,B,3,6.4,6.8,2009,16,2,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1759,907,C,10,3.4,6.3,2009,65,11,NA,NA
5754,FF-7,10-ha,PortoAlegre,3209,8506,1317,B,4,NA,NA,2003,NA,NA,dead (2),NA
5753,FF-4,1-ha,PortoAlegre,3114,3597,241,E,8,NA,NA,2000,14,2,NA,0
5756,CF-3,CF,Esteio-Colosso,1501,4732,932,B,4,4.3,3.6,2007,10,1,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4047,243,E,1,NA,NA,2002,NA,NA,plant missing (60),NA
5750,CF-2,CF,Esteio-Colosso,1501,1717,863,C,10,NA,NA,2007,NA,NA,NA,NA
5753,FF-4,1-ha,PortoAlegre,3114,3507,114,A,9,NA,NA,1998,39,3,NA,0
5754,FF-7,10-ha,PortoAlegre,3209,8067,461,B,2,NA,NA,2002,18,1,NA,0
5750,CF-2,CF,Esteio-Colosso,1501,1022,157,A,7,6.2,2.7,2001,19,3,NA,0
5750,CF-2,CF,Esteio-Colosso,1501,1439,584,B,8,8.3,6.1,2009,8,1,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1060,196,E,9,9.3,3.8,2000,14,2,NA,0
5753,FF-4,1-ha,PortoAlegre,3114,3501,108,B,3,4.2,8.7,1998,75,4,NA,0
5750,CF-2,CF,Esteio-Colosso,1501,1587,732,A,8,NA,NA,2006,NA,NA,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4913,1613,E,2,9,0.1,1999,NA,NA,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4322,523,E,9,NA,NA,1998,21,3,NA,0
2107,FF-1,1-ha,Dimona,2107,39,365,D,3,6,2.15,2004,9,1,NA,0
5754,FF-7,10-ha,PortoAlegre,3209,8241,732,E,2,NA,NA,2004,26,2,no tag (50),0
5752,FF-6,10-ha,Esteio-Colosso,1202,3182,621,D,1,NA,NA,2007,NA,NA,plant missing (60),NA
NA,CF-1,CF,Esteio-Colosso,1301,6477,703,E,5,NA,NA,2004,NA,NA,plant missing (60),NA
5756,CF-3,CF,Esteio-Colosso,1501,4513,714,C,3,NA,NA,1998,NA,NA,NA,NA
2206,FF-5,10-ha,Dimona,2206,907,277,A,5,NA,NA,2002,NA,NA,NA,NA
5752,FF-6,10-ha,Esteio-Colosso,1202,3394,841,C,1,NA,NA,2007,NA,NA,plant missing (60),NA
2206,FF-5,10-ha,Dimona,2206,850,219,D,1,NA,NA,2009,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1700,846,C,9,NA,NA,2007,NA,NA,NA,NA
NA,CF-1,CF,Esteio-Colosso,1301,5841,57,A,8,5.3,3.1,2007,66,3,NA,1
5753,FF-4,1-ha,PortoAlegre,3114,3422,25,D,9,9.8,0.3,2007,NA,NA,plant missing (60),NA
2108,FF-2,1-ha,Dimona,2108,365,28,E,7,7.4,8.2,2004,81,5,NA,0
5753,FF-4,1-ha,PortoAlegre,3114,3802,466,E,5,9.6,3.75,2007,NA,NA,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4176,375,C,5,0.8,5.9,2007,62,4,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1580,725,J,8,3,1.3,2003,12,2,NA,0
NA,CF-6,CF,PortoAlegre,3402,5256,111,A,10,0.7,5,1999,89,6,NA,0
5756,CF-3,CF,Esteio-Colosso,1501,4084,280,A,5,5.1,3.8,2001,40,4,NA,0
NA,CF-6,CF,PortoAlegre,3402,5524,382,B,7,NA,NA,2007,NA,NA,NA,NA
5753,FF-4,1-ha,PortoAlegre,3114,3487,93,C,5,6.8,8.1,2002,47,5,NA,0
5753,FF-4,1-ha,PortoAlegre,3114,3611,255,A,4,2.4,6.6,2000,16,1,sdlg (1),0
2108,FF-2,1-ha,Dimona,2108,548,259,E,10,2.3,7.4,2009,60,5,NA,NA
5756,CF-3,CF,Esteio-Colosso,1501,4184,383,C,5,NA,NA,2005,NA,NA,NA,NA
NA,CF-1,CF,Esteio-Colosso,1301,5920,138,C,4,NA,NA,2004,NA,NA,plant missing (60),NA
5756,CF-3,CF,Esteio-Colosso,1501,4083,279,C,3,NA,NA,2006,NA,NA,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1211,353,H,7,7.9,9,2006,42,4,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1084,220,C,7,4,5.8,2005,80,10,NA,1
5756,CF-3,CF,Esteio-Colosso,1501,4031,227,D,1,NA,NA,1999,51,4,NA,0
NA,CF-1,CF,Esteio-Colosso,1301,6653,880,E,4,NA,NA,2006,NA,NA,plant missing (60),NA
NA,CF-1,CF,Esteio-Colosso,1301,6745,974,A,2,NA,NA,2003,NA,NA,NA,NA
2107,FF-1,1-ha,Dimona,2107,217,225,D,10,2,4.5,2007,28,1,NA,NA
5750,CF-2,CF,Esteio-Colosso,1501,1551,696,E,9,6.8,6.5,2008,22,1,NA,NA
NA,CF-1,CF,Esteio-Colosso,1301,5816,31,C,5,10,0.4,2003,130,3,NA,1
NA,CF-4,CF,Dimona,NA,5660,87,D,10,NA,NA,2007,NA,NA,dead (2),NA
5756,CF-3,CF,Esteio-Colosso,1501,3909,102,E,6,2.2,1.2,1999,70,3,NA,0
5756,CF-3,CF,Esteio-Colosso,1501,5122,2240,C,9,6.8,8.7,2006,NA,NA,NA,NA
NA,CF-5,CF,PortoAlegre,NA,7636,295,A,7,8.8,2.2,2002,28,2,NA,0
NA,CF-1,CF,Esteio-Colosso,1301,6419,645,B,4,NA,NA,2003,11,1,NA,0
5754,FF-7,10-ha,PortoAlegre,3209,7919,313,D,5,NA,NA,2003,NA,NA,NA,NA
NA,CF-6,CF,PortoAlegre,3402,5458,315,B,2,4.7,6.5,2002,63,5,NA,0
2108,FF-2,1-ha,Dimona,2108,523,234,A,10,5.6,3.5,2008,23,2,NA,NA
5754,FF-7,10-ha,PortoAlegre,3209,7893,287,C,1,NA,NA,1999,15,1,NA,0
2108,FF-2,1-ha,Dimona,2108,627,345,D,1,3.05,3.51,2002,NA,NA,NA,NA
NA,CF-6,CF,PortoAlegre,3402,5554,2112,B,1,1.52,5.95,2001,NA,NA,NA,NA
NA,CF-5,CF,PortoAlegre,NA,7532,178,E,3,NA,NA,2001,NA,NA,NA,NA
